ID,ID_SRC,RA_1,DEC_1,EXT_LIKE,DET_LIKE,z,z_type,T_300kpc,T_300kpc_L,T_300kpc_U,L_300kpc,L_300kpc_L,L_300kpc_U,Lbol_300kpc,Lbol_300kpc_L,Lbol_300kpc_U,F_300kpc,F_300kpc_L,F_300kpc_U,T_500kpc,T_500kpc_L,T_500kpc_U,L_500kpc,L_500kpc_L,L_500kpc_U,Lbol_500kpc,Lbol_500kpc_L,Lbol_500kpc_U,F_500kpc,F_500kpc_L,F_500kpc_U,SNR_MAX,R_SNR_MAX,source_id,ref_epoch,ra_2,dec_2,parallax,pmra,pmdec,radial_velocity,propagated_epoch,propagated_dec,propagated_ra,GroupID,GroupSize,Separation
eFEDS J083137.9+004632,3725,127.90807122714551,0.7758061975293113,17.16152,66.059,0.29280000925064087,1,-1.0,-1.0,-1.0,1.1852E43,9.9557E42,1.4012E43,1.9885E43,1.6605E43,2.3829E43,4.2249E-14,3.5387E-14,4.9931E-14,-1.0,-1.0,-1.0,1.3348E43,1.0811E43,1.6133E43,2.249E43,1.8038E43,2.7415E43,4.7649E-14,3.8468E-14,5.7484E-14,6.53,1.0576,3077056957611358720,2016.0,127.9271418931739,0.7953420141357092,0.1638805362929351,-1.1383742896866447,0.7570340996674102,,"(127.92714679497989, 0.7953387546833327, 0.1638805362929342, -1.1383742887876207, 0.7570341010192724, -4.0626476235955035E-6)",0.7953387546833327,127.92714679497989,,,98.28261582201495
eFEDS J083146.7-012849,4403,127.94487696352506,-1.4804844163888748,6.0354147,28.073036,0.05,0,-1.0,-1.0,-1.0,1.3322E41,9.1555E40,1.9408E41,2.1085E41,1.4424E41,3.066E41,2.2074E-14,1.5178E-14,3.2158E-14,-1.0,-1.0,-1.0,1.3346E41,9.1556E40,1.9579E41,2.1144E41,1.4433E41,3.0944E41,2.2121E-14,1.5178E-14,3.2463E-14,4.46,0.9593,3073135308872438400,2016.0,127.96311249916519,-1.4520490571990814,-0.8053887693503281,-0.07406474009505835,0.10073771170139514,,"(127.96311281815748, -1.4520494909308956, -0.805388769350328, -0.07406474010927055, 0.10073771169094597, 6.914860816207787E-9)",-1.4520494909308956,127.96311281815748,,,121.59655540023469
eFEDS J083149.4+005230,5463,127.95594634285897,0.8750684239434364,13.068746,41.506348,0.39756,0,-1.0,-1.0,-1.0,1.9816E43,1.4001E43,2.8163E43,3.4488E43,2.4745E43,4.9389E43,2.9139E-14,2.2984E-14,3.6619E-14,-1.0,-1.0,-1.0,2.0717E43,1.4624E43,2.9687E43,3.6688E43,2.5795E43,5.242E43,3.0621E-14,2.3917E-14,3.8893E-14,5.14,0.758,3077056717093207424,2016.0,128.007784406218,0.8215057779779246,0.10071918074259532,-1.4824955143522964,0.47021426263495547,,"(128.00779078984098, 0.8215037534442887, 0.10071918074259462, -1.4824955136011497, 0.4702142650031061, -8.555250560919457E-6)",0.8215037534442887,128.00779078984098,5,2,268.34930483402314
eFEDS J083149.4+005230,5463,127.95594634285897,0.8750684239434364,13.068746,41.506348,0.39756,0,-1.0,-1.0,-1.0,1.9816E43,1.4001E43,2.8163E43,3.4488E43,2.4745E43,4.9389E43,2.9139E-14,2.2984E-14,3.6619E-14,-1.0,-1.0,-1.0,2.0717E43,1.4624E43,2.9687E43,3.6688E43,2.5795E43,5.242E43,3.0621E-14,2.3917E-14,3.8893E-14,5.14,0.758,3077062798767111168,2016.0,128.03385049146883,0.8575443373523477,-1.1297775187009502,0.47760440572118334,-0.4583451259501357,,"(128.0338484348862, 0.8575463107827506, -1.129777518700949, 0.47760440596740833, -0.458345125693562, 1.3816365019089443E-7)",0.8575463107827506,128.0338484348862,5,2,287.4228155920437
eFEDS J083204.4+041907,3593,128.01847451983986,4.3188326949388225,65.95779,118.644905,0.196937,0,2.7858517749468774,2.6130375155422487,3.129565030447135,2.0755E43,1.8751E43,2.2925E43,4.7219E43,4.13E43,5.4178E43,1.9247E-13,1.7383E-13,2.13E-13,2.4165041705735972,1.9230936097832918,3.491409851736315,3.3347E43,3.0521E43,3.6576E43,7.5873E43,6.702E43,8.5991E43,3.1002E-13,2.8299E-13,3.3831E-13,11.89,3.4463,3092393706004701824,2016.0,128.06333126137068,4.3738257574958705,-0.6251620475750532,-0.853295408339275,-3.3413817392774585,,"(128.06333494601233, 4.373840144000572, -0.6251620475750322, -0.8532954247268567, -3.341381735092291, 6.776802254094276E-6)",4.373840144000572,128.06333494601233,,,255.23768471591734
eFEDS J083228.0-000656,7396,128.11694107938195,-0.11566440710359698,13.583257,42.373714,0.42146,0,-1.0,-1.0,-1.0,1.4098E43,8.4905E42,2.3915E43,3.8302E43,2.2118E43,6.9232E43,2.3981E-14,1.47E-14,4.0465E-14,-1.0,-1.0,-1.0,1.7298E43,1.1492E43,2.6394E43,4.6061E43,2.8977E43,7.668E43,2.9303E-14,1.9843E-14,4.4783E-14,4.28,0.9564,3076750365665110912,2016.0,128.18098884053433,-0.11071243932698413,0.16160746138326185,0.7506994936377103,-0.47801701283675163,,"(128.1809856083499, -0.11071038119817868, 0.16160746138326146, 0.7506994935856011, -0.4780170129185789, -1.745899318068267E-6)",-0.11071038119817868,128.1809856083499,,,231.24860124056568
eFEDS J083238.8-003200,8565,128.16171250777919,-0.5335537807590048,15.796387,32.57768,0.3985,0,-1.0,-1.0,-1.0,1.4071E43,1.1276E43,1.7256E43,3.5316E43,2.7401E43,4.8612E43,2.7026E-14,2.2022E-14,3.2937E-14,-1.0,-1.0,-1.0,1.8182E43,1.4389E43,2.2039E43,4.586E43,3.4944E43,6.3087E43,3.514E-14,2.8148E-14,4.2216E-14,5.15,1.2191,3076581972883455360,2016.0,128.0924914783701,-0.5501610231677485,-0.5958396292569573,-1.4472344032578852,-3.6463339477918515,,"(128.09249770980549, -0.5501453236743589, -0.5958396292569315, -1.4472343994499413, -3.6463339493028624, 9.201189574405812E-6)",-0.5501453236743589,128.09249770980549,,,256.22136211247636
eFEDS J083310.2+030136,15959,128.29277860055842,3.026898405370145,6.7304955,18.392376,0.747513,0,-1.0,-1.0,-1.0,1.5538E43,9.7776E42,2.5749E43,2.7828E43,1.7399E43,4.4423E43,5.5253E-15,3.4431E-15,8.8853E-15,-1.0,-1.0,-1.0,3.4722E43,1.892E43,5.1285E43,6.2002E43,3.4589E43,8.9596E43,1.2303E-14,6.8103E-15,1.799E-14,4.58,3.6162,3079808317956003712,2016.0,128.33666056738014,2.992541488835849,-0.6373376466165201,-0.5322517178069514,0.38630868067623225,,"(128.33666286214878, 2.9925398255623605, -0.6373376466165194, -0.5322517169992117, 0.38630868178912386, 2.4175248331153306E-7)",2.9925398255623605,128.33666286214878,6,3,200.47285243355827
eFEDS J083310.2+030136,15959,128.29277860055842,3.026898405370145,6.7304955,18.392376,0.747513,0,-1.0,-1.0,-1.0,1.5538E43,9.7776E42,2.5749E43,2.7828E43,1.7399E43,4.4423E43,5.5253E-15,3.4431E-15,8.8853E-15,-1.0,-1.0,-1.0,3.4722E43,1.892E43,5.1285E43,6.2002E43,3.4589E43,8.9596E43,1.2303E-14,6.8103E-15,1.799E-14,4.58,3.6162,3079808833351997056,2016.0,128.36917186173145,3.0194333623598735,0.539360984455544,0.4011441519681807,-0.48121288702774534,,"(128.36917013218195, 3.0194354342486918, 0.5393609844555435, 0.40114415273333504, -0.4812128863899026, -2.5922014436001823E-7)",3.0194354342486918,128.36917013218195,6,3,275.937833496382
eFEDS J083310.2+030136,15959,128.29277860055842,3.026898405370145,6.7304955,18.392376,0.747513,0,-1.0,-1.0,-1.0,1.5538E43,9.7776E42,2.5749E43,2.7828E43,1.7399E43,4.4423E43,5.5253E-15,3.4431E-15,8.8853E-15,-1.0,-1.0,-1.0,3.4722E43,1.892E43,5.1285E43,6.2002E43,3.4589E43,8.9596E43,1.2303E-14,6.8103E-15,1.799E-14,4.58,3.6162,3079820545727511808,2016.0,128.3235361783772,3.0481325514672344,-0.21376281199651742,0.40192369465560196,-0.042984504157838097,,"(128.32353444542065, 3.0481327365394035, -0.21376281199651734, 0.40192369472473427, -0.04298450351141774, 2.7228404153348734E-7)",3.0481327365394035,128.32353444542065,6,3,134.41855883818536
