ID,ID_SRC,RA_1,DEC_1,EXT_LIKE,DET_LIKE,z,z_type,T_300kpc,T_300kpc_L,T_300kpc_U,L_300kpc,L_300kpc_L,L_300kpc_U,Lbol_300kpc,Lbol_300kpc_L,Lbol_300kpc_U,F_300kpc,F_300kpc_L,F_300kpc_U,T_500kpc,T_500kpc_L,T_500kpc_U,L_500kpc,L_500kpc_L,L_500kpc_U,Lbol_500kpc,Lbol_500kpc_L,Lbol_500kpc_U,F_500kpc,F_500kpc_L,F_500kpc_U,SNR_MAX,R_SNR_MAX,source_id,ref_epoch,ra_2,dec_2,parallax,pmra,pmdec,radial_velocity,propagated_epoch,propagated_dec,propagated_ra,GroupID,GroupSize,Separation
eFEDS J084151.7+004351,6543,130.46556115234816,0.7311089539436415,12.487229,25.507204,0.237435,0,-1.0,-1.0,-1.0,-1.0,-1.0,3.4535E42,-1.0,-1.0,1.6142E43,-1.0,-1.0,2.3223E-14,-1.0,-1.0,-1.0,-1.0,-1.0,3.5397E42,-1.0,-1.0,1.6572E43,-1.0,-1.0,2.3804E-14,3.02,0.5407,3075355016690499584,2016.0,130.46562505191437,0.7355517703181672,0.1429563997262983,0.16170146969237956,0.08840748811041008,,"(130.46562435564232, 0.7355513896748157, 0.14295639972629828, 0.16170146967858762, 0.08840748813563606, -8.463181183837958E-8)",0.7355513896748157,130.46562435564232,,,15.99438685259281
eFEDS J084201.3+040534,6988,130.50559553217775,4.092817300805454,6.5748024,36.516098,0.75822,0,-1.0,-1.0,-1.0,3.8663E43,2.898E43,5.0664E43,1.4445E44,9.6142E43,2.1897E44,1.867E-14,1.4234E-14,2.3712E-14,-1.0,-1.0,-1.0,4.2103E43,3.0826E43,5.5961E43,1.5639E44,1.0442E44,2.3931E44,2.0399E-14,1.5124E-14,2.6383E-14,4.47,0.5744,582164949909149056,2016.0,130.5073236019909,4.091620804050775,-0.26926192818459743,-0.15388550336919446,-0.10139259637635796,,"(130.5073242662465, 4.091621240602231, -0.2692619281845974, -0.15388550345306748, -0.10139259624906216, 4.4929974341315094E-8)",4.091621240602231,130.5073242662465,,,7.554737319640368
eFEDS J084253.7+002006,6903,130.7237786095814,0.335035220431319,6.6380963,29.725372,0.344875,0,-1.0,-1.0,-1.0,5.7507E42,3.9158E42,8.1446E42,1.1886E43,7.7239E42,1.7924E43,1.4677E-14,9.8655E-15,2.0433E-14,-1.0,-1.0,-1.0,6.0195E42,4.1095E42,8.7036E42,1.2496E43,8.1624E42,1.9232E43,1.5438E-14,1.047E-14,2.1845E-14,3.35,0.6192,3075276435969410944,2016.0,130.72021252806815,0.3305898318399743,-0.4344666097229411,-0.4397786688004787,0.39702083126981813,,"(130.72021442159115, 0.3305881224447284, -0.4344666097229406, -0.4397786687247728, 0.39702083135367555, 2.8781726994114353E-7)",0.3305881224447284,130.72021442159115,,,20.516743292026135
eFEDS J084531.6+022831,1039,131.3818300199489,2.4753202061838695,98.85854,275.71405,0.07649999856948853,1,1.4486420783143839,1.3555744238617848,1.563661655846525,4.0998E42,3.8088E42,4.362E42,7.1572E42,6.6574E42,7.7086E42,2.8549E-13,2.6508E-13,3.0421E-13,1.2673109623462158,1.1836967940996337,1.374591566970035,4.3241E42,3.9812E42,4.6665E42,7.5632E42,6.987E42,8.2239E42,3.0095E-13,2.7796E-13,3.25E-13,14.76,2.6319,3079024052632736128,2016.0,131.38486748880047,2.481244812783583,0.23553640856714972,4.102235335195301,-0.774837655659514,,"(131.3848498098233, 2.4812481488900384, 0.23553640856713812, 4.102235345545288, -0.7748376008611996, -2.6359377931105586E-5)",2.4812481488900384,131.3848498098233,,,23.945435926978533
eFEDS J085256.8+052741,6642,133.23695413659627,5.461465361054336,8.217552,29.047646,0.272562,0,-1.0,-1.0,-1.0,7.7033E42,4.7548E42,1.079E43,3.2353E43,1.7682E43,4.9124E43,3.8218E-14,2.3433E-14,5.2446E-14,-1.0,-1.0,-1.0,7.8012E42,4.7742E42,1.0995E43,3.2827E43,1.8066E43,4.9921E43,3.8644E-14,2.3471E-14,5.3861E-14,3.62,0.5605,582047920640832512,2016.0,133.23874456447518,5.462626270736749,0.21115757939140378,3.09471397438563,0.7657160898867227,,"(133.23873117922327, 5.462622973903437, 0.2111575793913977, 3.09471395735633, 0.7657161587114872, -1.7146199017914248E-5)",5.462622973903437,133.23873117922327,1,2,7.610689688528224
eFEDS J085256.8+052741,6642,133.23695413659627,5.461465361054336,8.217552,29.047646,0.272562,0,-1.0,-1.0,-1.0,7.7033E42,4.7548E42,1.079E43,3.2353E43,1.7682E43,4.9124E43,3.8218E-14,2.3433E-14,5.2446E-14,-1.0,-1.0,-1.0,7.8012E42,4.7742E42,1.0995E43,3.2827E43,1.8066E43,4.9921E43,3.8644E-14,2.3471E-14,5.3861E-14,3.62,0.5605,582047920640833152,2016.0,133.2343633476546,5.464092267433224,-1.0093242088942134,-1.9238982551623063,1.3007693622128358,,"(133.23437166891657, 5.464086666898413, -1.009324208894198, -1.9238982371733915, 1.3007693888191483, 1.9035258366183743E-6)",5.464086666898413,133.23437166891657,1,2,13.217414675284434
eFEDS J085440.4-020931,7700,133.66855847000096,-2.1588238024350033,6.950616,32.392193,0.4725,0,-1.0,-1.0,-1.0,1.3147E43,8.9155E42,1.7986E43,3.368E43,2.2012E43,5.4109E43,1.69E-14,1.1597E-14,2.2235E-14,-1.0,-1.0,-1.0,1.3845E43,9.2276E42,1.9247E43,3.6231E43,2.2899E43,5.7774E43,1.8029E-14,1.2068E-14,2.4203E-14,3.56,0.6172,5763911222937241600,2016.0,133.66792387641087,-2.1570060316754462,-0.09976719483398089,-0.05135408564272767,0.40483644338591424,,"(133.66792409767552, -2.157007774721244, -0.09976719483398085, -0.05135408570157068, 0.4048364433784496, 5.946099554651299E-7)",-2.157007774721244,133.66792409767552,,,6.924564521270036
eFEDS J085547.0+025458,8799,133.9458403369044,2.916213891049453,7.299822,27.831467,0.97031,0,-1.0,-1.0,-1.0,-1.0,-1.0,6.4138E43,-1.0,-1.0,3.0374E44,-1.0,-1.0,1.8364E-14,-1.0,-1.0,-1.0,-1.0,-1.0,7.2294E43,-1.0,-1.0,3.5107E44,-1.0,-1.0,2.0486E-14,2.0,0.4749,578052295385025408,2016.0,133.9467208683836,2.914969641944265,0.3799543004974751,1.0521976279658618,0.28508550690212126,,"(133.94671633221895, 2.9149684144927686, 0.37995430049747375, 1.0521976268180573, 0.28508551113842645, -1.1141840734723767E-6)",2.9149684144927686,133.94671633221895,,,5.479330440850292
eFEDS J085620.7+014649,569,134.08645872539776,1.7804590250684431,51.74816,309.07455,0.7240800261497498,1,-1.0,-1.0,-1.0,1.6434E44,1.4664E44,1.8483E44,8.6002E44,7.2247E44,1.0113E45,9.5169E-14,8.54E-14,1.061E-13,-1.0,-1.0,-1.0,2.152E44,1.9063E44,2.417E44,1.1189E45,9.4194E44,1.3282E45,1.2472E-13,1.1122E-13,1.3901E-13,12.4,1.5486,577635614838556544,2016.0,134.08562853135112,1.773157245337066,-0.7504875984322779,1.1907368157473948,1.0867809091034502,,"(134.08562340211157, 1.773152566141478, -0.7504875984322723, 1.1907368127369573, 1.086780912401815, 1.2336214042931906E-6)",1.773152566141478,134.08562340211157,,,26.47442942684031
eFEDS J085627.2+014217,1385,134.11336636956494,1.704978358291364,26.812115,92.78449,0.7318,0,-1.0,-1.0,-1.0,1.066E44,8.592E43,1.293E44,3.6942E44,2.8246E44,5.0325E44,5.4717E-14,4.5142E-14,6.5404E-14,-1.0,-1.0,-1.0,1.5178E44,1.2685E44,1.8044E44,5.3472E44,4.1438E44,7.0699E44,7.8358E-14,6.6781E-14,9.1976E-14,8.99,1.3306,577631903987074048,2016.0,134.11266756831682,1.7099343039722719,2.6761094433919914,0.8079254468684682,0.8347343299339673,,"(134.11266408819924, 1.709930709977237, 2.6761094433919808, 0.8079254453555579, 0.8347343313982757, -1.7964082848204645E-7)",1.709930709977237,134.11266408819924,,,18.00667620939424
