clust_ID clus_ID_SRC clus_RA clust_DEC source_id ra dec separation matches
"eFEDS J083532.5+030911" 3198 128.88583374023438 3.1533119678497314 3080000556397200128 128.9474334716797 3.102900743484497 286.29876708984375 4
"eFEDS J083532.5+030911" 3198 128.88583374023438 3.1533119678497314 3080001930786796544 128.88587951660156 3.153663158416748 1.2747747898101807 4
"eFEDS J083532.5+030911" 3198 128.88583374023438 3.1533119678497314 3080002308743941760 128.93138122558594 3.17143177986145 176.2367401123047 4
"eFEDS J083532.5+030911" 3198 128.88583374023438 3.1533119678497314 3080003992371162240 128.94259643554688 3.205063581466675 276.2846984863281 4
"eFEDS J083930.3-014348" 6979 129.8763427734375 -1.7301924228668213 3073195507133270016 129.8706512451172 -1.7296552658081055 20.572940826416016 2
"eFEDS J083930.3-014348" 6979 129.8763427734375 -1.7301924228668213 3073196091248834304 129.88502502441406 -1.696130633354187 126.54276275634766 2
"eFEDS J083945.5+031556" 7213 129.93959045410156 3.265655994415283 3080058452555913472 129.92398071289062 3.218923568725586 177.3430633544922 4
"eFEDS J083945.5+031556" 7213 129.93959045410156 3.265655994415283 3080060174838307584 129.99375915527344 3.2631397247314453 194.91189575195312 4
"eFEDS J083945.5+031556" 7213 129.93959045410156 3.265655994415283 3080060892097345792 129.9356689453125 3.263252019882202 16.537879943847656 4
"eFEDS J083945.5+031556" 7213 129.93959045410156 3.265655994415283 3080064671668586240 129.95498657226562 3.331627607345581 243.85995483398438 4
"eFEDS J084011.6+034837" 5544 130.0487518310547 3.8103504180908203 3080151636166634752 129.98983764648438 3.758596897125244 281.9441223144531 2
"eFEDS J084011.6+034837" 5544 130.0487518310547 3.8103504180908203 3080153392808486656 130.05177307128906 3.80716609954834 15.789603233337402 2
"eFEDS J084129.0+002645" 5591 130.370849609375 0.44601207971572876 3075330483836481408 130.36973571777344 0.4479449391365051 8.007408142089844 2
"eFEDS J084129.0+002645" 5591 130.370849609375 0.44601207971572876 3075331239750734464 130.2989044189453 0.4708768427371979 273.9877624511719 2
"eFEDS J084135.7-005048" 4430 130.3988494873047 -0.8467797040939331 3073402146600864768 130.38204956054688 -0.8716859817504883 108.1551284790039 3
"eFEDS J084135.7-005048" 4430 130.3988494873047 -0.8467797040939331 3074903392289406720 130.398193359375 -0.8480709791183472 5.218135833740234 3
"eFEDS J084135.7-005048" 4430 130.3988494873047 -0.8467797040939331 3074907618537268864 130.35256958007812 -0.7830936312675476 283.40460205078125 3
"eFEDS J084201.3+040534" 6988 130.50559997558594 4.092817306518555 582164949909149056 130.50732421875 4.091620922088623 7.553674221038818 3
"eFEDS J084201.3+040534" 6988 130.50559997558594 4.092817306518555 582167629968732672 130.42913818359375 4.07432222366333 282.5228576660156 3
"eFEDS J084201.3+040534" 6988 130.50559997558594 4.092817306518555 582173917800893184 130.51406860351562 4.141067028045654 176.33969116210938 3
"eFEDS J084253.7+002006" 6903 130.72378540039062 0.3350352346897125 3075276435969410944 130.72021484375 0.33058983087539673 20.516206741333008 4
"eFEDS J084253.7+002006" 6903 130.72378540039062 0.3350352346897125 3075281246332775680 130.7843017578125 0.3119213879108429 233.24351501464844 4
"eFEDS J084253.7+002006" 6903 130.72378540039062 0.3350352346897125 3075281521210687360 130.7560577392578 0.32502707839012146 121.65702819824219 4
"eFEDS J084253.7+002006" 6903 130.72378540039062 0.3350352346897125 3075282655085527040 130.72103881835938 0.37537509202957153 145.5594482421875 4
"eFEDS J085256.8+052741" 6642 133.23695373535156 5.461465358734131 582047375180293120 133.1947479248047 5.429841041564941 189.33450317382812 4
"eFEDS J085256.8+052741" 6642 133.23695373535156 5.461465358734131 582047920640832512 133.23873901367188 5.4626264572143555 7.657343864440918 4
"eFEDS J085256.8+052741" 6642 133.23695373535156 5.461465358734131 582047920640833152 133.23435974121094 5.464092254638672 13.252691268920898 4
"eFEDS J085256.8+052741" 6642 133.23695373535156 5.461465358734131 582048268533366016 133.20303344726562 5.492211818695068 164.41592407226562 4
"eFEDS J085440.4-020931" 7700 133.66856384277344 -2.1588237285614014 5763911222937241600 133.6679229736328 -2.157006025314331 6.930751323699951 2
"eFEDS J085440.4-020931" 7700 133.66856384277344 -2.1588237285614014 5763918270978407552 133.66949462890625 -2.0980074405670166 218.9644775390625 2
"eFEDS J085620.7+014649" 569 134.08645629882812 1.7804590463638306 577631903987074048 134.1126708984375 1.7099343538284302 270.8387451171875 4
"eFEDS J085620.7+014649" 569 134.08645629882812 1.7804590463638306 577635614838556544 134.08563232421875 1.7731572389602661 26.455602645874023 4
"eFEDS J085620.7+014649" 569 134.08645629882812 1.7804590463638306 577635649198296192 134.06629943847656 1.7767442464828491 73.78401947021484 4
"eFEDS J085620.7+014649" 569 134.08645629882812 1.7804590463638306 577635752277787008 134.11074829101562 1.7883862257003784 91.96532440185547 4
"eFEDS J085627.2+014217" 1385 134.11337280273438 1.704978346824646 577631491670214272 134.1491241455078 1.7130569219589233 131.8953094482422 3
"eFEDS J085627.2+014217" 1385 134.11337280273438 1.704978346824646 577631903987074048 134.1126708984375 1.7099343538284302 18.01773452758789 3
"eFEDS J085627.2+014217" 1385 134.11337280273438 1.704978346824646 577635614838556544 134.08563232421875 1.7731572389602661 264.9619445800781 3
"eFEDS J090255.5+044036" 4348 135.73165893554688 4.676731109619141 580151782774161536 135.66220092773438 4.662044525146484 254.79164123535156 3
"eFEDS J090255.5+044036" 4348 135.73165893554688 4.676731109619141 580153157163265152 135.73129272460938 4.676490783691406 1.6010900735855103 3
