Name,ID_SRC,src_RA,src_DEC,ML_FLUX,ML_FLUX_ERR,clust_ID,clus_ID_SRC,clus_RA,clust_DEC,Separation
eFEDS J085615.8+014637,568,134.06592095439217,1.7769519858923724,1.3283442e-13,1.1208479e-14,eFEDS J085620.7+014649,569,134.08645629882812,1.7804590463638306,74.96247440183798
eFEDS J085626.5+014718,3125,134.11082404541906,1.7884510074558067,4.4600273e-14,7.274131e-15,eFEDS J085620.7+014649,569,134.08645629882812,1.7804590463638306,92.28105033805947
eFEDS J085631.0+014723,3126,134.12937156507985,1.789727763705842,1.4681874e-14,4.447242e-15,eFEDS J085620.7+014649,569,134.08645629882812,1.7804590463638306,157.9839009685898
eFEDS J085639.0+014829,20350,134.16259418576837,1.8080570286707693,7.611855e-15,3.1621248e-15,eFEDS J085620.7+014649,569,134.08645629882812,1.7804590463638306,291.4209062540887
eFEDS J090931.3+034031,636,137.3806807546317,3.675438964326222,1.1619866e-13,1.2070058e-14,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,26.76517811556655
eFEDS J090931.0+033925,637,137.3794789833912,3.6571534229741682,2.3951232e-14,5.7327575e-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,90.33630052556214
eFEDS J090933.1+033905,639,137.38823173888662,3.6515825697562034,2.4848848e-14,5.5791896e-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,116.64977229609747
eFEDS J090929.1+033705,8382,137.3715475310031,3.6182237894888982,1.8076835e-14,4.7279766e-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,231.20483405889738
eFEDS J090932.5+033755,8383,137.3854999292275,3.6320083605820033,2.0807791e-14,4.7613793e-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,182.84619552238087
eFEDS J090950.0+034029,9994,137.4583700817391,3.6749765852104748,1.6585457e-14,4.3484596e-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,291.6210909974766
eFEDS J090923.8+033818,14086,137.3492839696577,3.6385745139012715,1.614637e-14,4.4718956e-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,186.87069110459134
eFEDS J090923.9+034236,20577,137.34994266474533,3.710226684354703,9.652806e-15,3.6068543e-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,141.4748747041433
eFEDS J090919.4+034054,21785,137.3311599039609,3.681885758903591,9.653566e-15,3.6090426e-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,166.54673009086972
eFEDS J085635.7+014247,1384,134.1489394515409,1.7131373725655743,8.007552e-14,9.857736e-15,eFEDS J085627.2+014217,1385,134.11337280273438,1.704978346824646,131.31026611437207
eFEDS J085617.0+013801,20810,134.07092969094543,1.6338706985266587,1.0677266e-14,3.604788e-15,eFEDS J085627.2+014217,1385,134.11337280273438,1.704978346824646,298.0875270882303
eFEDS J092809.6+011329,15317,142.04037110210487,1.2248514333289544,9.117058e-15,3.44975e-15,eFEDS J092803.4+010953,1527,142.01422119140625,1.164846658706665,235.63075028082733
eFEDS J092808.4+011420,15318,142.03513954688606,1.238970516209993,8.9494655e-15,3.4774082e-15,eFEDS J092803.4+010953,1527,142.01422119140625,1.164846658706665,277.2638402907578
eFEDS J083547.4+030612,1168,128.94750231023784,3.103473798189478,7.878053e-14,8.8779946e-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,285.185651499766
eFEDS J083537.9+031001,10950,128.90828403913068,3.1670173872560365,1.6988428e-14,4.701238e-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,94.58637589388863
eFEDS J083536.2+030808,22425,128.90088105848488,3.135599553038289,9.65044e-15,3.5596903e-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,83.61538740157589
eFEDS J083551.1+030737,25792,128.9630294830768,3.126991808353178,7.838621e-15,3.1984817e-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,293.218878210274
eFEDS J083531.9+031123,27635,128.8830630028736,3.189805043884608,1.0625086e-14,3.848301e-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,131.75203671975936
eFEDS J083525.3+030437,29531,128.85556232337933,3.0772029624291206,1.0800617e-14,3.772363e-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,294.80973301498886
eFEDS J093530.1+035154,3772,143.87556649128965,3.8650512521880445,4.5622763e-14,7.0765224e-15,eFEDS J093525.9+035101,3773,143.8579559326172,3.850329637527466,82.52201500308703
eFEDS J093527.4+035503,6153,143.86447399417364,3.917642329072127,3.0044597e-14,5.72705e-15,eFEDS J093525.9+035101,3773,143.8579559326172,3.850329637527466,243.4539395576121
eFEDS J093532.5+034729,16265,143.8857196081949,3.7915465219349223,1.345607e-14,4.362152e-15,eFEDS J093525.9+035101,3773,143.8579559326172,3.850329637527466,233.9405456192736
eFEDS J093536.3+034647,16266,143.90142791260854,3.779740415723278,8.398212e-15,3.4550927e-15,eFEDS J093525.9+035101,3773,143.8579559326172,3.850329637527466,298.2635267308248
eFEDS J092209.3+034628,367,140.53912709669456,3.7746087709875584,8.441325e-13,4.2756075e-14,eFEDS J092220.4+034806,4014,140.58517456054688,3.8017022609710693,192.02451365203302
eFEDS J092230.0+035019,18679,140.62532776006358,3.8386115511916095,8.746965e-15,3.1411696e-15,eFEDS J092220.4+034806,4014,140.58517456054688,3.8017022609710693,196.10645574584697
eFEDS J092230.2+035127,18680,140.62600903576828,3.857727387690266,1.0014199e-14,3.3028034e-15,eFEDS J092220.4+034806,4014,140.58517456054688,3.8017022609710693,249.3849272446024
eFEDS J092219.4+035259,26750,140.58100422960067,3.883215798228121,7.957451e-15,2.8576888e-15,eFEDS J092220.4+034806,4014,140.58517456054688,3.8017022609710693,293.8308071553147
eFEDS J090244.9+043648,1059,135.68732412163004,4.6133865608491975,8.422461e-14,9.1848805e-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,278.04533561003177
eFEDS J090255.7+044346,3026,135.73217666465666,4.729613234527429,4.9620803e-14,8.06749e-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,190.38471176884698
eFEDS J090248.5+044005,4121,135.70222919924637,4.668104945069412,2.1721767e-13,3.1350427e-14,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,110.06660763382209
eFEDS J090302.8+044341,19282,135.76191295803395,4.728158222983802,1.1201056e-14,4.1901674e-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,214.6126083179578
