source_id,ra,dec
3089654921323997696,125.01336169710326,1.1099643335828642
3090033260698985472,125.20060237716548,1.27928355298535
3090035627226929280,125.2130734571367,1.3230240778780542
3090035661585019776,125.19191928249026,1.328543010756646
3090036692376963456,125.07126475295344,1.2825144367984964
3090036726736704256,125.07970191350772,1.2916277050691694
3090042189935162112,125.28126494564914,1.391679841815099
3090042945849469568,125.3427677271629,1.4550785654382954
3090044526397529600,125.39141527720174,1.4866313508103133
3090044835635146752,125.39496672748629,1.5130479058398187
3090045488470075008,125.24416034336306,1.423036494024167
3090046592276998528,125.19987243367157,1.4704097570221204
3090047481335016448,125.20759184409592,1.5255173677108815
3090048065449871104,125.30961086949985,1.5459169857344046
3090052222978814336,125.09476043690587,1.4404005892997138
3090057273859792000,125.05286325158096,1.579201217858684
3090065279678928896,125.15161166611992,1.6523097508890816
3090078989215687680,125.76708696541037,1.778339522397469
3090079955582249472,125.70036212701675,1.802513071069726
3090082871866138496,125.6834392321559,1.806356227242216
3090083082319612416,125.69687197326631,1.8345885328326144
3090085998602122880,125.36064574895524,1.7285918327935277
3090086136041081472,125.37657818056245,1.7448846310934645
3090086518292106240,125.25707276635785,1.712542643849734
3090094279298745600,125.50821922796352,1.8304639757462873
3090097062438139904,125.6502765538173,1.9654153466789384
3090099742497209984,125.35663760991973,1.9480596271479032
3090099983015384064,125.41029531224551,1.9562153790245138
3090112455599953280,125.03345944936413,1.7394517414702646
3090114070506943616,125.06527902810292,1.7638177085443134
3090114826423191680,125.0048778926009,1.7712056524456705
3090139805951137792,125.14887889326302,1.9002236782284054
3090141249061148544,125.19853885480788,1.9301126551772838
3090145578388216960,125.12518084395847,1.9913469507520163
3090150182593228160,125.39271778481499,2.094160618206456
3090153343689171200,125.3359490709896,2.1139271638829333
3090157776095368960,125.09141582770371,2.039995579868401
3090166022432680448,125.18154306160133,2.1886119689088566
3090168672427058048,125.07831501562315,2.1821940569528087
3090168839931235968,125.0721773633987,2.203969335511531
3090170729716892928,125.07558725864118,2.299759468442691
3090171829228527232,125.20957811353199,2.3244697775587677
3090173993891542912,125.90366374627608,1.8821862808104668
3090176124195341440,125.96040473117301,1.932918961715814
3090178563738470528,125.74486776891293,1.917959449022676
3090183099222274304,126.02304488046526,2.0129626983424544
3090185366965070336,126.10059377189144,2.0995876130188997
3090185783577634944,126.12373888932932,2.1240794036815225
3090187089246337536,125.98059699880126,2.0918072850857885
3090189734946518400,126.00032017080578,2.165779957672458
