Name,ID_SRC,ID_hard,RA_1,DEC_1,RA_CORR,DEC_CORR,ML_FLUX,ML_FLUX_ERR,clust_ID,clus_ID_SRC,clus_RA,clust_DEC,source_id,ra_2,dec_2,separation_2,matches,GroupID,GroupSize,Separation
eFEDS J085615.8+014637,568,-99,134.0659401637776,1.7770132978767106,134.06592095439217,1.7769519858923724,1.3283442E-13,1.1208479E-14,eFEDS J085620.7+014649,569,134.08645629882812,1.7804590463638306,577631903987074048,134.1126708984375,1.7099343538284302,270.8387451171875,4,4,5,74.96247440183798
eFEDS J085620.7+014649,569,-99,134.08647772448563,1.780520420834052,134.08645872539776,1.7804590250684431,2.046844E-13,1.6047725E-14,eFEDS J085620.7+014649,569,134.08645629882812,1.7804590463638306,577631903987074048,134.1126708984375,1.7099343538284302,270.8387451171875,4,4,5,0.008731769725812768
eFEDS J085626.5+014718,3125,-99,134.11084256526962,1.7885125941455557,134.11082404541906,1.7884510074558067,4.4600273E-14,7.274131E-15,eFEDS J085620.7+014649,569,134.08645629882812,1.7804590463638306,577631903987074048,134.1126708984375,1.7099343538284302,270.8387451171875,4,4,5,92.28105033805947
eFEDS J085631.0+014723,3126,-99,134.12939000836965,1.7897893808966079,134.12937156507985,1.789727763705842,1.4681874E-14,4.447242E-15,eFEDS J085620.7+014649,569,134.08645629882812,1.7804590463638306,577631903987074048,134.1126708984375,1.7099343538284302,270.8387451171875,4,4,5,157.9839009685898
eFEDS J085639.0+014829,20350,-99,134.1626115299323,1.8081190837377696,134.16259418576837,1.8080570286707693,7.611855E-15,3.1621248E-15,eFEDS J085620.7+014649,569,134.08645629882812,1.7804590463638306,577631903987074048,134.1126708984375,1.7099343538284302,270.8387451171875,4,4,5,291.4209062540887
eFEDS J090931.3+034031,636,-99,137.38058595331347,3.675545630138498,137.3806807546317,3.675438964326222,1.1619866E-13,1.2070058E-14,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,579053984837526016,137.3507080078125,3.6395087242126465,181.291015625,3,5,10,26.76517811556655
eFEDS J090931.0+033925,637,-99,137.37938528239138,3.657259651954743,137.3794789833912,3.6571534229741682,2.3951232E-14,5.7327575E-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,579053984837526016,137.3507080078125,3.6395087242126465,181.291015625,3,5,10,90.33630052556214
eFEDS J090930.6+034055,638,-99,137.37742050735085,3.6822772085048263,137.37751571374073,3.682170381882623,1.2625164E-13,2.65699E-14,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,579053984837526016,137.3507080078125,3.6395087242126465,181.291015625,3,5,10,0.007136550627122559
eFEDS J090933.1+033905,639,-99,137.38813837309775,3.651688665652105,137.38823173888662,3.6515825697562034,2.4848848E-14,5.5791896E-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,579053984837526016,137.3507080078125,3.6395087242126465,181.291015625,3,5,10,116.64977229609747
eFEDS J090929.1+033705,8382,-99,137.37145617238318,3.618329088461567,137.3715475310031,3.6182237894888982,1.8076835E-14,4.7279766E-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,579053984837526016,137.3507080078125,3.6395087242126465,181.291015625,3,5,10,231.20483405889738
eFEDS J090932.5+033755,8383,-99,137.38540774122364,3.632113988860626,137.3854999292275,3.6320083605820033,2.0807791E-14,4.7613793E-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,579053984837526016,137.3507080078125,3.6395087242126465,181.291015625,3,5,10,182.84619552238087
eFEDS J090950.0+034029,9994,-99,137.45827530824485,3.6750832399767632,137.4583700817391,3.6749765852104748,1.6585457E-14,4.3484596E-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,579053984837526016,137.3507080078125,3.6395087242126465,181.291015625,3,5,10,291.6210909974766
eFEDS J090923.8+033818,14086,-99,137.3491913865737,3.6386802990417486,137.3492839696577,3.6385745139012715,1.614637E-14,4.4718956E-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,579053984837526016,137.3507080078125,3.6395087242126465,181.291015625,3,5,10,186.87069110459134
eFEDS J090923.9+034236,20577,-99,137.34984576995126,3.71033418122681,137.34994266474533,3.710226684354703,9.652806E-15,3.6068543E-15,eFEDS J090930.6+034055,638,137.3775177001953,3.6821703910827637,579053984837526016,137.3507080078125,3.6395087242126465,181.291015625,3,5,10,141.4748747041433
