source_id,ra,dec,redshift_qsoc,classlabel_dsc
3089654921323997696,125.01336169710326,1.1099643335828642,1.5718781,quasar
3089657670103199488,125.01299953846295,1.1927088705916535,,star
3090033260698985472,125.20060237716548,1.27928355298535,0.37739313,quasar
3090034321555025920,125.13181139544409,1.3086708035742565,,star
3090035627226929280,125.2130734571367,1.3230240778780542,1.2274714,quasar
3090035661585019776,125.19191928249026,1.328543010756646,2.7104533,quasar
3090036005182230016,125.2054751574187,1.3517154091553978,,star
3090036692376963456,125.07126475295344,1.2825144367984964,2.2018116,quasar
3090036726736704256,125.07970191350772,1.2916277050691694,0.8552273,quasar
3090038517737811712,125.10155969827336,1.3826973946792267,,physicalbinary
3090042189935162112,125.28126494564914,1.391679841815099,1.3533559,quasar
3090042327374134528,125.30918211283591,1.413438758018972,2.5820801,star
3090042945849469568,125.3427677271629,1.4550785654382954,2.5412707,quasar
3090044526397529600,125.39141527720174,1.4866313508103133,0.3654563,quasar
3090044835635146752,125.39496672748629,1.5130479058398187,2.7550645,quasar
3090045488470075008,125.24416034336306,1.423036494024167,5.5579205,quasar
3090046592276998528,125.19987243367157,1.4704097570221204,1.1390136,quasar
3090047481335016448,125.20759184409592,1.5255173677108815,0.54156244,quasar
3090048065449871104,125.30961086949985,1.5459169857344046,1.3281599,quasar
3090049371119972864,125.34077031341869,1.583677063963689,0.60390186,star
3090052222978814336,125.09476043690587,1.4404005892997138,0.56194276,quasar
3090057273859792000,125.05286325158096,1.579201217858684,2.9620092,quasar
3090063149375063680,125.05415154392887,1.5873985107932571,0.27219394,star
3090065279678928896,125.15161166611992,1.6523097508890816,0.8637472,quasar
3090071739311006976,125.59473306273631,1.680146572320743,4.139096,physicalbinary
3090072632663876608,125.47284331846554,1.641390612384363,2.7909093,star
3090074007053423104,125.40697323908392,1.6970938862435831,3.3010716,star
3090075553241745024,125.44356571684004,1.718831684341546,1.028877,star
3090076412235421696,125.71228030470003,1.670424133840561,2.7857993,star
3090076515314642432,125.70289099170323,1.687543637408883,0.87578773,star
3090078989215687680,125.76708696541037,1.778339522397469,1.49235,quasar
3090079955582249472,125.70036212701675,1.802513071069726,0.5536056,quasar
3090081600555818112,125.61920143148066,1.8052999349118783,0.6935558,star
3090082287750590592,125.5563942135651,1.8145294401233978,2.3093743,star
3090082871866138496,125.6834392321559,1.806356227242216,1.6412679,quasar
3090083082319612416,125.69687197326631,1.8345885328326144,2.7023706,quasar
3090083490341447808,125.71650182120752,1.8455906948523937,0.8477467,physicalbinary
3090085139610228096,125.3280091579903,1.6585640620952744,3.4217105,star
3090085998602122880,125.36064574895524,1.7285918327935277,1.0370238,quasar
3090086136041081472,125.37657818056245,1.7448846310934645,4.566602,quasar
3090086518292106240,125.25707276635785,1.712542643849734,0.515264,quasar
3090087235552364160,125.33164433699359,1.7897537712173315,0.67546326,star
3090087338631920512,125.4143893550111,1.7311458507801034,1.9970276,star
3090091874117057408,125.33713769463068,1.8252820686088571,0.33132333,star
3090092492594286464,125.34840572101874,1.853473416034913,0.4130472,star
3090093802556609408,125.31590469409097,1.9182311126191762,0.09079751,star
3090094279298745600,125.50821922796352,1.8304639757462873,1.454536,quasar
3090095722407791360,125.51715605287235,1.8989930192717337,,star
3090097062438139904,125.6502765538173,1.9654153466789384,0.5198839,quasar
3090097165517343232,125.54768207484817,1.9124786220229046,1.1994785,star
3090098063164116480,125.55946931008793,1.9796358889292989,,star
3090098746064782592,125.40156907222755,1.92285144128475,,star
3090099742497209984,125.35663760991973,1.9480596271479032,1.0844003,quasar
3090099983015384064,125.41029531224551,1.9562153790245138,1.2396833,quasar
3090102319479779968,125.51346862511974,2.0505445609784254,0.42215598,star
3090112455599953280,125.03345944936413,1.7394517414702646,0.8283091,quasar
3090114070506943616,125.06527902810292,1.7638177085443134,1.7300459,quasar
3090114242305644160,125.12572535900615,1.76994563339531,4.3848457,star
3090114826423191680,125.0048778926009,1.7712056524456705,6.111033,quasar
3090138981317363200,125.11994263261204,1.8488752251922067,2.5200126,star
3090139153116069504,125.12088799653479,1.8605348717523462,1.475165,star
3090139805951137792,125.14887889326302,1.9002236782284054,1.1625383,quasar
3090140085124203520,125.26457224709196,1.8836874788533389,0.5158493,galaxy
3090141249061148544,125.19853885480788,1.9301126551772838,0.63393617,quasar
3090142554730202368,125.0550101171025,1.8961684946284085,3.449223,star
3090142589089945856,125.04020346522407,1.9020220755657564,0.44228783,star
3090143310644506752,125.12213541596137,1.9674436809074807,1.2989069,star
3090144685035018112,125.18191746573589,1.9898061098575228,2.4913218,star
3090145578388216960,125.12518084395847,1.9913469507520163,0.63481385,quasar
3090147571253059968,125.34759672646979,2.020511040834951,5.4315166,star
3090150182593228160,125.39271778481499,2.094160618206456,0.51803577,quasar
3090151316464564352,125.2222673145666,2.0503133670129707,2.9075472,star
3090152828294637824,125.26120062433455,2.119403334716202,3.7379115,star
3090153343689171200,125.3359490709896,2.1139271638829333,2.8929517,quasar
3090157776095368960,125.09141582770371,2.039995579868401,1.6008778,quasar
3090166022432680448,125.18154306160133,2.1886119689088566,1.2463046,quasar
3090166297310604544,125.15688939155747,2.217720539141011,1.414944,star
3090167504195054976,125.29430852255089,2.267605646652204,2.2316794,star
3090168672427058048,125.07831501562315,2.1821940569528087,0.7177205,quasar
3090168839931235968,125.0721773633987,2.203969335511531,0.7678173,quasar
3090170729716892928,125.07558725864118,2.299759468442691,2.520116,quasar
3090171829228527232,125.20957811353199,2.3244697775587677,1.5364331,quasar
3090173993891542912,125.90366374627608,1.8821862808104668,2.4140494,quasar
