Cluster_ID,Cluster_ID_SRC,Cluster_RA,Cluster_DEC,Cluster_z,source_id,source_ra,source_dec,source_redshift,separation,Name,ID_SRC,RA_CORR,DEC_CORR,EXT,EXT_LIKE,ML_FLUX
eFEDS J093712.8+031651,38,144.30357360839844,3.281043291091919,0.24743999540805817,3850733404031582848,144.2484893798828,3.306312322616577,3.8292181491851807,217.8682098388672,eFEDS J093659.6+031825,13954,144.2483809419624,3.3069881821571006,0.0,0.0,1.4145716e-14
eFEDS J085751.6+031039,108,134.46530151367188,3.177539110183716,0.20054000616073608,578251959824896640,134.5100555419922,3.12762451171875,2.977076768875122,241.1890869140625,eFEDS J085802.6+030740,5785,134.51104642981838,3.1277924915821065,0.0,0.0,2.805007e-14
eFEDS J092647.5+050032,137,141.6979522705078,5.0090532302856445,0.4549199938774109,3852149231410867840,141.6918487548828,5.072366714477539,1.6917551755905151,228.9776611328125,eFEDS J092646.1+050424,22652,141.6922833908374,5.0733440523100555,0.0,0.0,8.450688e-15
eFEDS J084528.6+032739,144,131.3695068359375,3.4608874320983887,0.33432501554489136,581277781465316096,131.33567810058594,3.4161391258239746,0.3743792176246643,201.78489685058594,eFEDS J084520.5+032455,3663,131.33544886343833,3.4154672857530066,0.0,0.0,4.1291823e-14
eFEDS J092002.1+010219,150,140.009033203125,1.0388675928115845,0.017000000923871994,3844131107289292544,139.9637451171875,0.9819409847259521,0.7472863793373108,261.8541259765625,eFEDS J091951.2+005903,13168,139.96350889912307,0.9841793681748556,0.0,0.0,1.5174116e-14
eFEDS J090131.1+030056,152,135.37998962402344,3.0156965255737305,0.1932400017976761,578206398811348864,135.3057861328125,3.0229625701904297,1.8010656833648682,268.0482177734375,eFEDS J090112.9+030126,7016,135.3039563666715,3.023911462491626,0.0,0.0,2.9223667e-14
eFEDS J091057.2+041730,206,137.73841857910156,4.291769027709961,0.4684799909591675,579217880789832704,137.72789001464844,4.2134552001953125,0.6377061605453491,284.4529113769531,eFEDS J091054.7+041247,415,137.72792250545777,4.213228875288054,0.0,0.0,1.5765339e-13
eFEDS J091057.2+041730,206,137.73841857910156,4.291769027709961,0.4684799909591675,579221213684467456,137.6945343017578,4.246768951416016,2.3710505962371826,225.96578979492188,eFEDS J091046.5+041449,3666,137.69388220685903,4.246982181200393,0.0,0.0,4.0142196e-14
eFEDS J091057.2+041730,206,137.73841857910156,4.291769027709961,0.4684799909591675,579221286699051520,137.69334411621094,4.249583721160889,2.815422296524048,221.9303741455078,eFEDS J091046.5+041449,3666,137.69388220685903,4.246982181200393,0.0,0.0,4.0142196e-14
eFEDS J084034.5+023638,250,130.14405822753906,2.610764503479004,0.04899999871850014,3079164171645499648,130.1715087890625,2.549730062484741,2.51230525970459,240.87936401367188,eFEDS J084040.9+023257,9600,130.17047144971423,2.5491962840408084,0.0,0.0,1.7018366e-14
eFEDS J084034.5+023638,250,130.14405822753906,2.610764503479004,0.04899999871850014,3079164279019943424,130.1592254638672,2.5652425289154053,1.8428319692611694,172.7153778076172,eFEDS J084038.2+023353,9599,130.1592731594019,2.5648665964607718,0.0,0.0,2.1820736e-14
eFEDS J092735.3+014423,266,141.89743041992188,1.739898681640625,0.14855000376701355,3844465393183884160,141.90875244140625,1.741988182067871,0.43343737721443176,41.422271728515625,eFEDS J092737.9+014431,264,141.9080640279093,1.7420179813841938,0.0,0.0,1.9417259e-13
eFEDS J092405.0-013059,298,141.02105712890625,-1.5165138244628906,0.3371799886226654,3838824451857631872,141.01589965820312,-1.5951772928237915,1.5775588750839233,283.7969665527344,eFEDS J092403.6-013538,1918,141.01511814393922,-1.5940268151743944,0.0,0.0,2.6160414e-14
eFEDS J092405.0-013059,298,141.02105712890625,-1.5165138244628906,0.3371799886226654,3838824554936860544,141.0254669189453,-1.575857162475586,2.848803758621216,214.22303771972656,eFEDS J092405.7-013435,1920,141.0239900279879,-1.5764934239753357,0.0,0.0,2.1339389e-14
eFEDS J085436.6+003835,328,133.65257263183594,0.6431198120117188,0.1060900017619133,3074799935117128960,133.66400146484375,0.6951145529747009,0.4418129324913025,191.6527099609375,eFEDS J085439.3+004142,225,133.6640275564626,0.6951241702651592,0.0,0.0,2.3376944e-13
eFEDS J090540.0+043440,354,136.4170684814453,4.577979564666748,0.2359600067138672,579971321132470016,136.4315185546875,4.5631537437438965,1.3015254735946655,74.4276351928711,eFEDS J090543.6+043349,355,136.43171607202788,4.56369093245743,0.0,0.0,1.6381335e-13
eFEDS J090540.0+043440,354,136.4170684814453,4.577979564666748,0.2359600067138672,579972695522014336,136.4986572265625,4.58738374710083,0.8636749386787415,294.7230224609375,eFEDS J090559.3+043515,1449,136.4972064786202,4.587649288607858,0.0,0.0,5.4221974e-14
eFEDS J090540.0+043440,354,136.4170684814453,4.577979564666748,0.2359600067138672,579972970399924352,136.46829223632812,4.597397327423096,2.53066086769104,196.66175842285156,eFEDS J090552.3+043545,9610,136.46792490769207,4.596043936394635,0.0,0.0,2.2022333e-14
eFEDS J090210.6+032513,431,135.54454040527344,3.4204444885253906,0.5346300005912781,578315044304069632,135.52749633789062,3.35745906829834,0.8962490558624268,234.8795166015625,eFEDS J090206.5+032122,12816,135.52741273841028,3.3561735657189407,0.0,0.0,1.5951357e-14
eFEDS J093009.0+040144,536,142.5375518798828,4.02893590927124,0.3279699981212616,3851748180249053184,142.59378051757812,4.085371494293213,1.9300678968429565,286.4505310058594,eFEDS J093022.3+040504,9662,142.5933233352418,4.08452651686859,0.0,0.0,1.9589578e-14
